mode,working_set_bytes,readers,per_reader_gbps,aggregate_gbps,seconds
disjoint,134217728,1,48.630,48.630,0.005520
disjoint,134217728,2,48.393,96.787,0.005547
disjoint,134217728,4,42.802,171.207,0.006272
disjoint,134217728,8,28.784,230.272,0.009326
disjoint,134217728,16,14.497,231.950,0.018517
disjoint,134217728,32,7.034,225.080,0.038164
disjoint,134217728,40,5.321,212.825,0.050255
disjoint,134217728,80,2.628,210.227,0.101752
disjoint,134217728,160,1.328,212.436,0.201388
disjoint,134217728,320,0.681,218.001,0.384796
