pattern,chunk_kb,qd,bytes,seconds,gbps,iops,mean_latency_ms,max_latency_ms
rand,1024,1,50331648,0.017736,2.8379,2706,0.3596,1.4788
rand,1024,4,50331648,0.009994,5.0361,4802,0.8111,1.2990
rand,17695,1,869793792,0.194644,4.4686,246,4.0519,5.3913
rand,17695,4,869793792,0.167685,5.1871,286,13.5617,15.8849
rand4k,4,48,2097152,0.005437,0.3857,94173,0.4914,1.3480
