phase,index,slab_bytes,cum_bytes,alloc_ms,touch_ms,commit_gibps,avail_phys_bytes,avail_commit_bytes,gpu_read_gbps,status
mixed_a,5,2147483648,12884901888,138.356,9.988,200.246,50356895744,133692407808,0.000,ok
mixed_a,6,2147483648,15032385536,142.945,11.118,179.880,50336755712,131522699264,0.000,ok
mixed_a,7,2147483648,17179869184,147.018,12.148,164.631,50318639104,129353871360,0.000,ok
mixed_a,8,2147483648,19327352832,141.493,11.075,180.580,50304360448,127184769024,0.000,ok
mixed_a,9,2147483648,21474836480,140.108,10.957,182.523,50288594944,125014102016,0.000,ok
mixed_a,10,2147483648,23622320128,139.283,11.133,179.654,50269081600,122844905472,0.000,ok
mixed_a,11,2147483648,25769803776,139.343,11.145,179.459,50248855552,120674439168,0.000,ok
mixed_a,12,2147483648,27917287424,142.436,10.636,188.041,50233348096,118505598976,0.000,ok
mixed_a,13,2147483648,30064771072,141.735,10.616,188.404,50220720128,116334759936,0.000,ok
mixed_a,14,2147483648,32212254720,143.633,10.909,183.337,50200612864,114166857728,0.000,ok
mixed_a,15,2147483648,34359738368,141.425,10.212,195.842,50180882432,111997833216,0.000,ok
mixed_a,16,2147483648,36507222016,141.970,10.675,187.355,50159284224,109826764800,0.000,ok
mixed_a,17,2147483648,38654705664,146.390,10.773,185.648,50140995584,107655905280,0.000,ok
mixed_a,18,2147483648,40802189312,142.333,10.380,192.673,50122444800,105486770176,0.000,ok
mixed_a,19,2147483648,42949672960,144.836,10.406,192.199,50102915072,103314022400,0.000,ok
mixed_a,20,2147483648,45097156608,145.165,10.268,194.772,50085670912,101145067520,0.000,ok
mixed_a,21,2147483648,47244640256,144.547,11.590,172.563,50069295104,98975064064,0.000,ok
mixed_a,22,2147483648,49392123904,142.583,9.545,209.536,50047651840,96802897920,0.000,ok
mixed_a,23,2147483648,51539607552,143.937,10.523,190.058,50031280128,94631747584,0.000,ok
mixed_a,24,2147483648,53687091200,149.977,11.018,181.515,50013335552,92462653440,0.000,ok
mixed_a,25,2147483648,55834574848,146.691,10.270,194.734,49991487488,90289852416,0.000,ok
mixed_a,26,2147483648,57982058496,141.248,11.245,177.850,49974575104,88119640064,0.000,ok
mixed_a,27,2147483648,60129542144,142.754,10.815,184.925,49955504128,85950754816,0.000,ok
mixed_a,28,2147483648,62277025792,142.056,11.133,179.640,49933864960,83777019904,0.000,ok
mixed_a,29,2147483648,64424509440,138.831,11.901,168.049,49922150400,81608011776,0.000,ok
mixed_a,30,2147483648,66571993088,226.782,3.563,561.388,47751307264,79435259904,0.000,ok
mixed_a,31,2147483648,68719476736,233.061,3.637,549.934,45581950976,77260255232,0.000,ok
mixed_a,32,2147483648,70866960384,233.122,3.534,565.947,43411312640,75088424960,0.000,ok
mixed_a,33,2147483648,73014444032,233.951,3.520,568.117,41244884992,72914837504,0.000,ok
mixed_a,34,2147483648,75161927680,233.230,3.551,563.237,39076376576,70742433792,0.000,ok
mixed_a,35,2147483648,77309411328,235.061,3.553,562.952,36905484288,68569051136,0.000,ok
mixed_a,36,2147483648,79456894976,236.243,3.627,551.466,34733477888,66395262976,0.000,ok
mixed_a,37,2147483648,79456894976,0.013,0.000,0.000,34733477888,66395262976,0.000,resource-exhausted: vkAllocateMemory(2147483648 B, type 2) failed (-2)
mixed_a_total,37,2147483648,79456894976,0.000,0.000,0.000,34733477888,66395262976,0.000,allocation 37 failed: resource-exhausted: vkAllocateMemory(2147483648 B, type 2) failed (-2)
mixed_b,0,2147483648,2147483648,276.741,6.759,295.911,32573706240,64225144832,0.000,ok
mixed_b,1,2147483648,4294967296,277.428,6.601,302.971,30405226496,62058532864,0.000,ok
mixed_b,2,2147483648,6442450944,277.422,6.943,288.077,28247228416,59892056064,0.000,ok
mixed_b,3,2147483648,8589934592,275.599,6.896,290.044,26079375360,57724538880,0.000,ok
