section,kernel,variant,n,rows,k,weight_bytes,ms,rows_per_s,eff_gbps,rel_l2,cos,load
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,gemm 32x5120 wbf16 xf32,4133,32,0,0,7.3,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,host: MoE CSR,4133,40,0,0,2.1,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,gemm 4096x1280 wfp8 xq,4133,3,0,0,1.4,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,prefill_elem s6,4133,3,0,0,1.3,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,host: candidate blocks,4133,32,0,0,0.1,0,0,0,0,"quiet, lock fin-s"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,total,4133,10556,0,198546030592,211337.6,19.6,0,0,0,"quiet, lock fin-s"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,embed,4133,10556,0,198546030592,525.4,0.0,0,0,0,"quiet, lock fin-s"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,engram_io,4133,10556,0,198546030592,59301.8,0.0,0,0,0,"quiet, lock fin-s"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,engram_gpu,4133,10556,0,198546030592,2477.5,0.0,0,0,0,"quiet, lock fin-s"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,mhc,4133,10556,0,198546030592,4996.0,0.0,0,0,0,"quiet, lock fin-s"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,attention,4133,10556,0,198546030592,38639.0,0.0,0,0,0,"quiet, lock fin-s"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,gate_route,4133,10556,0,198546030592,2426.1,0.0,0,0,0,"quiet, lock fin-s"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,shared_expert,4133,10556,0,198546030592,2778.0,0.0,0,0,0,"quiet, lock fin-s"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,expert_io,4133,10556,0,198546030592,75792.0,0.0,0,0,0,"quiet, lock fin-s"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,expert_gpu,4133,10556,0,198546030592,22951.4,0.0,0,0,0,"quiet, lock fin-s"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,head,4133,10556,0,198546030592,20.7,0.0,0,0,0,"quiet, lock fin-s"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,host_other,4133,10556,0,198546030592,1429.7,0.0,0,0,0,"quiet, lock fin-s"
