pattern,chunk_kb,qd,bytes,seconds,gbps,iops,mean_latency_ms,max_latency_ms
rand,4096,8,201326592,0.042996,4.6824,1116,6.7238,10.8675
rand,4096,16,201326592,0.044629,4.5111,1075,13.3983,28.1999
rand,4096,32,201326592,0.045148,4.4593,1063,21.8362,43.5593
rand,4096,64,201326592,0.044056,4.5698,1089,29.4990,44.0284
rand,8192,1,402653184,0.113020,3.5627,424,2.3524,3.1087
rand,8192,2,402653184,0.099624,4.0417,481,4.1032,5.0037
rand,8192,4,402653184,0.085672,4.6999,560,6.9174,8.8708
rand,8192,8,402653184,0.087258,4.6145,550,13.7841,20.4969
rand,8192,16,402653184,0.087473,4.6032,548,25.2332,35.1747
rand,8192,32,402653184,0.087374,4.6084,549,41.1019,63.2741
rand,8192,64,402653184,0.086536,4.6530,554,56.8955,86.5074
rand,18360,1,902430720,0.225615,3.9999,212,4.6978,6.4245
rand,18360,2,902430720,0.203939,4.4250,235,8.3785,11.8471
rand,18360,4,902430720,0.199054,4.5336,241,16.1466,25.0885
rand,18360,8,902430720,0.192540,4.6870,249,30.0407,43.7883
rand,18360,16,902430720,0.191021,4.7243,251,55.5301,86.1563
rand,18360,32,902430720,0.189934,4.7513,252,88.0682,136.6342
rand,18360,64,902430720,0.195178,4.6236,245,116.0261,195.1461
rand4k,4,48,2097152,0.006115,0.3429,83727,0.5478,0.9900
