run,kernel,us,bytes,gbps,lanes,subgroup,rows,heads_per_wg,ksplit_wqa,ksplit_wkv,ksplit_woa,ksplit_wob,ksplit_rows,tiles,tile_heads,pv_tiles,pv_heads,n_kv,fp8_arith,shader_dir,extra_flags,note
fin_p3,wq_a.kcombine,1.19,10240,8.6,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,wo_a.ksplit,161.00,33587200,208.6,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,wo_a.kcombine,1.39,131072,94.4,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,wo_b.ksplit,203.54,41984000,206.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,wo_b.kcombine,1.36,163840,120.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,wkv.ksplit,7.87,2624000,333.5,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,wkv.kfinish,9.11,4096,0.4,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,gate.score,15.28,3932160,257.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,gate.topk,11.59,3072,0.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,head,5650.27,1323827200,234.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,compressor.wkv,97.53,5242880,53.8,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,compressor.wgate,16.75,5242880,313.0,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,compressor.norm,3.83,8192,2.1,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,compressor.store,7.85,3072,0.4,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,indexer.wq_b,17.49,5248000,300.0,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,indexer.q_finish,11.02,24576,2.2,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,indexer.key,20.27,131072,6.5,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,indexer.weights,24.09,327680,13.6,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,indexer.score,16.85,16640,1.0,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3,indexer.topk,0.81,260,0.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults (docs/p2_attention.md 13.0)"
fin_p3b,mega_mhc.post,2.39,163840,68.6,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,mega_mhc.mix,5.33,1966080,368.7,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,mega_mhc.final,3.18,40960,12.9,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,wq_a,38.30,6560000,171.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,wq_b,196.63,41984000,213.5,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,wkv.gemv,9.89,2624000,265.4,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,wkv.finish,10.86,2560,0.2,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,sparse_attn.score,29.80,134144,4.5,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,sparse_attn.combine,28.22,134144,4.8,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,sparse_attn_t.score,16.47,134144,8.1,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,sparse_attn_t.pv,25.27,134144,5.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,wo_a,196.91,33587200,170.6,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,wo_b,262.26,41984000,160.1,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,wq_a.ksplit,34.86,6560000,188.2,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,wq_a.kcombine,1.28,10240,8.0,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,wo_a.ksplit,162.42,33587200,206.8,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,wo_a.kcombine,1.67,131072,78.6,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,wo_b.ksplit,207.81,41984000,202.0,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,wo_b.kcombine,1.97,163840,83.0,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,wkv.ksplit,11.78,2624000,222.8,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,wkv.kfinish,14.18,4096,0.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,gate.score,20.48,3932160,192.0,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,gate.topk,18.68,3072,0.2,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,head,5678.81,1323827200,233.1,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,compressor.wkv,16.02,5242880,327.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,compressor.wgate,15.84,5242880,330.9,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,compressor.norm,3.64,8192,2.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,compressor.store,7.53,3072,0.4,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,indexer.wq_b,16.97,5248000,309.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,indexer.q_finish,11.26,24576,2.2,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,indexer.key,19.46,131072,6.7,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,indexer.weights,23.30,327680,14.1,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,indexer.score,16.23,16640,1.0,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_p3b,indexer.topk,0.79,260,0.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","P3 Track J defaults, repeat"
fin_kv4k,mega_mhc.post,2.39,163840,68.5,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,mega_mhc.mix,5.34,1966080,368.5,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,mega_mhc.final,3.22,40960,12.7,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,wq_a,37.95,6560000,172.8,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,wq_b,194.05,41984000,216.4,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,wkv.gemv,9.75,2624000,269.2,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,wkv.finish,9.95,2560,0.3,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,sparse_attn_t.score,200.00,4130816,20.7,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,sparse_attn_t.pv,335.98,4130816,12.3,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,sparse_attn_t.finish,5.81,1048576,180.6,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,wo_a,196.15,33587200,171.2,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,wo_b,265.06,41984000,158.4,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,wq_a.ksplit,35.07,6560000,187.1,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,wq_a.kcombine,1.28,10240,8.0,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,wo_a.ksplit,162.17,33587200,207.1,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,wo_a.kcombine,1.65,131072,79.2,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,wo_b.ksplit,207.06,41984000,202.8,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,wo_b.kcombine,1.91,163840,85.7,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,wkv.ksplit,11.44,2624000,229.4,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,wkv.kfinish,13.18,4096,0.3,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,gate.score,19.99,3932160,196.7,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,gate.topk,17.94,3072,0.2,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,head,5685.63,1323827200,232.8,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,compressor.wkv,16.24,5242880,322.9,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,compressor.wgate,15.86,5242880,330.5,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,compressor.norm,3.63,8192,2.3,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,compressor.store,7.47,3072,0.4,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,indexer.wq_b,16.93,5248000,310.1,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,indexer.q_finish,10.36,24576,2.4,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv4k,indexer.key,19.05,131072,6.9,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
