variant,m,lanes_per_row,rows_per_lane,subgroup,decode_mode,h_precision,slots,layer_cycle,iters,path,bytes_a,bytes_b,gbps_a,gbps_b,gbps_total,ms_a,ms_b,ms_total,ms_wall,raw_read_gbps,launch_us
M1 L32 R1 sg32 dec0 hfp16,1,32,1,32,0,0,7,8,48,B external_memory_host,87736320,43868160,208.547,176.544,195.210,0.4207,0.2485,0.6742,0.6763,0.562,74.360
M6 L16 R2 sg64 dec0 hfp16,6,16,2,64,0,0,7,8,48,B external_memory_host,87736320,43868160,146.846,100.885,130.016,0.5975,0.4348,1.0122,1.0162,1.871,102.420
