section,kernel,variant,n,rows,k,weight_bytes,ms,rows_per_s,eff_gbps,rel_l2,cos,load
prefill,N=64 oracle mode MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,mhc,64,4990,0,93856071680,145.8,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=64 oracle mode MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,attention,64,4990,0,93856071680,3464.9,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=64 oracle mode MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gate_route,64,4990,0,93856071680,66.4,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=64 oracle mode MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,shared_expert,64,4990,0,93856071680,179.6,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=64 oracle mode MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,expert_io,64,4990,0,93856071680,68682.8,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=64 oracle mode MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,expert_gpu,64,4990,0,93856071680,3462.0,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=64 oracle mode MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,head,64,4990,0,93856071680,18.3,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=64 oracle mode MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,host_other,64,4990,0,93856071680,103.0,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,attn (coop, submit+wait),512,40,0,0,1204.8,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 8192x4096 wfp8 xf32,512,40,0,0,636.0,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 5120x8192 wfp8 xq,512,40,0,0,427.1,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 32768x1280 wfp8 xq,512,40,0,0,379.7,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gpu: attn score tiles,512,40,0,0,378.2,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
