section,kernel,variant,n,rows,k,weight_bytes,ms,rows_per_s,eff_gbps,rel_l2,cos,load
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 8 ht 1,embed,4133,10556,0,198546030592,566.2,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 8 ht 1,engram_io,4133,10556,0,198546030592,97453.0,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 8 ht 1,engram_gpu,4133,10556,0,198546030592,2928.6,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 8 ht 1,mhc,4133,10556,0,198546030592,5011.0,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 8 ht 1,attention,4133,10556,0,198546030592,29938.9,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 8 ht 1,gate_route,4133,10556,0,198546030592,2441.4,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 8 ht 1,shared_expert,4133,10556,0,198546030592,3187.3,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 8 ht 1,expert_io,4133,10556,0,198546030592,93361.8,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 8 ht 1,expert_gpu,4133,10556,0,198546030592,28180.2,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 8 ht 1,head,4133,10556,0,198546030592,22.6,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 8 ht 1,host_other,4133,10556,0,198546030592,1135.0,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,attn (coop, submit+wait),4133,200,0,0,11314.4,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,gemm 8192x4096 wfp8 xf32,4133,200,0,0,4961.5,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,prefill_elem s2,4133,81,0,0,4118.0,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,gpu: attn score tiles,4133,200,0,0,3558.5,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,coop 5120x8192 wfp8 xq,4133,180,0,0,3349.1,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,coop 32768x1280 wfp8 xq,4133,180,0,0,3265.9,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,gpu: attn P.V tiles,4133,200,0,0,3031.7,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
