dst,req_kb,chunk_kb,qd,bytes,seconds,gbps,mean_ms,max_ms,qd_at_issue,submit_us,copies,copy_ms,copy_ms_max,note
patha,9184,4096,8,902823936,0.188871,4.7801,7.7552,10.1089,6.90,708.1,0,0.0000,0.0000,memory type 2, mapped
patha,9184,4096,24,902823936,0.191356,4.7180,20.9352,33.4424,22.04,658.9,0,0.0000,0.0000,memory type 2, mapped
stage,9184,4096,8,902823936,0.188692,4.7847,7.7428,12.4660,6.86,75.9,96,0.2649,2.7262,ring 8 x 8.97 MiB path B -> path A (GPU copy)
stage,9184,4096,24,902823936,0.190717,4.7338,20.8019,33.3926,22.04,83.9,96,0.2620,3.0175,ring 24 x 8.97 MiB path B -> path A (GPU copy)
patha,9184,4096,8,902823936,0.189577,4.7623,7.7755,10.4643,6.87,682.0,0,0.0000,0.0000,memory type 2, mapped
patha,9184,4096,24,902823936,0.192138,4.6988,20.9370,37.0594,22.00,659.4,0,0.0000,0.0000,memory type 2, mapped
stage,9184,4096,8,902823936,0.189803,4.7566,7.7823,11.7271,6.85,78.9,96,0.2848,2.0396,ring 8 x 8.97 MiB path B -> path A (GPU copy)
stage,9184,4096,24,902823936,0.191481,4.7149,20.8709,40.5654,22.03,87.6,96,0.2991,3.0402,ring 24 x 8.97 MiB path B -> path A (GPU copy)
