dst,req_kb,chunk_kb,qd,bytes,seconds,gbps,mean_ms,max_ms,qd_at_issue,submit_us,copies,copy_ms,copy_ms_max,note
patha,9184,4096,8,902823936,0.191758,4.7081,7.8610,10.2944,6.87,721.6,0,0.0000,0.0000,memory type 2, mapped
patha,9184,4096,24,902823936,0.193180,4.6735,21.4654,35.6598,22.02,657.0,0,0.0000,0.0000,memory type 2, mapped
pathb,9184,4096,8,902823936,0.188880,4.7799,7.7762,11.6341,6.87,69.1,0,0.0000,0.0000,memory type 1, imported
pathb,9184,4096,24,902823936,0.193029,4.6771,21.1459,33.1839,22.04,79.8,0,0.0000,0.0000,memory type 1, imported
stage,9184,4096,8,902823936,0.188077,4.8003,7.7131,11.6407,6.86,78.6,96,0.2916,2.6720,ring 8 x 8.97 MiB path B -> path A (GPU copy)
stage,9184,4096,24,902823936,0.191360,4.7179,20.9311,30.0498,22.04,86.6,96,0.3062,2.6536,ring 24 x 8.97 MiB path B -> path A (GPU copy)
