dst,req_kb,chunk_kb,qd,bytes,seconds,gbps,mean_ms,max_ms,qd_at_issue,submit_us,copies,copy_ms,copy_ms_max,note
patha,9184,4096,8,902823936,0.189202,4.7718,7.7566,10.0707,6.88,694.4,0,0.0000,0.0000,memory type 2, mapped
patha,9184,4096,24,902823936,0.191327,4.7188,20.8563,31.4254,22.04,648.3,0,0.0000,0.0000,memory type 2, mapped
stage,9184,4096,8,902823936,0.190271,4.7449,7.8325,12.2110,6.88,72.5,96,0.3584,3.3221,ring 8 x 8.97 MiB path B -> path A (GPU copy)
stage,9184,4096,24,902823936,0.191366,4.7178,20.8976,32.0512,22.04,80.2,96,0.3201,3.7834,ring 24 x 8.97 MiB path B -> path A (GPU copy)
patha,9184,4096,8,902823936,0.188319,4.7941,7.7247,10.0787,6.88,677.5,0,0.0000,0.0000,memory type 2, mapped
patha,9184,4096,24,902823936,0.191636,4.7111,20.9121,39.2314,21.98,668.8,0,0.0000,0.0000,memory type 2, mapped
stage,9184,4096,8,902823936,0.189745,4.7581,7.7834,10.5192,6.88,73.5,96,0.3668,2.5483,ring 8 x 8.97 MiB path B -> path A (GPU copy)
stage,9184,4096,24,902823936,0.191414,4.7166,20.8996,35.3883,22.04,79.7,96,0.2846,2.6013,ring 24 x 8.97 MiB path B -> path A (GPU copy)
